open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
161.63,165.8,161.42,165.56,68445649.0,165.8,161.42,165.56,161.63,68445649.0,1.0,0.0,AAPL,XNAS,2023-04-13T00:00:00+0000
161.22,162.06,159.78,160.1,50133062.0,162.06,159.78,160.1,161.22,50133062.0,1.0,0.0,AAPL,XNAS,2023-04-12T00:00:00+0000
162.35,162.36,160.51,160.8,47507081.0,162.36,160.51,160.8,162.35,47644217.0,1.0,0.0,AAPL,XNAS,2023-04-11T00:00:00+0000
161.42,162.03,160.08,162.03,47716882.0,162.03,160.08,162.03,161.42,47716882.0,1.0,0.0,AAPL,XNAS,2023-04-10T00:00:00+0000
162.43,164.9584,162.0,164.66,45390123.0,164.9584,162.0,164.66,162.43,45390123.0,1.0,0.0,AAPL,XNAS,2023-04-06T00:00:00+0000
164.74,165.05,161.8,163.76,50263014.0,165.05,161.8,163.76,164.74,51511744.0,1.0,0.0,AAPL,XNAS,2023-04-05T00:00:00+0000
166.595,166.83,165.11,165.63,46278295.0,166.84,165.11,165.63,166.595,46278295.0,1.0,0.0,AAPL,XNAS,2023-04-04T00:00:00+0000
164.27,166.29,164.27,166.17,54888988.0,166.29,164.22,166.17,164.27,56976187.0,1.0,0.0,AAPL,XNAS,2023-04-03T00:00:00+0000
162.44,165.0,161.91,164.9,68694700.0,165.0,161.91,164.9,162.44,68749792.0,1.0,0.0,AAPL,XNAS,2023-03-31T00:00:00+0000
161.53,162.47,161.271,162.36,44935963.0,162.47,161.271,162.36,161.53,49501689.0,1.0,0.0,AAPL,XNAS,2023-03-30T00:00:00+0000
159.37,161.04,159.35,160.77,48914471.0,161.05,159.35,160.77,159.37,51305691.0,1.0,0.0,AAPL,XNAS,2023-03-29T00:00:00+0000
157.97,158.1277,155.98,157.65,45992152.0,158.49,155.98,157.65,157.97,45992152.0,1.0,0.0,AAPL,XNAS,2023-03-28T00:00:00+0000
159.94,160.77,157.87,158.28,52264369.0,160.77,157.87,158.28,159.94,52390266.0,1.0,0.0,AAPL,XNAS,2023-03-27T00:00:00+0000
158.86,160.34,157.85,160.25,59196500.0,160.34,157.85,160.25,158.86,59256343.0,1.0,0.0,AAPL,XNAS,2023-03-24T00:00:00+0000
158.83,161.55,157.68,158.93,67330105.0,161.5501,157.68,158.93,158.83,67622060.0,1.0,0.0,AAPL,XNAS,2023-03-23T00:00:00+0000
159.3,162.14,157.81,157.83,69099334.0,162.14,157.81,157.83,159.3,75701811.0,1.0,0.0,AAPL,XNAS,2023-03-22T00:00:00+0000
157.32,159.4,156.54,159.28,73868900.0,159.4,156.54,159.28,157.32,73938285.0,1.0,0.0,AAPL,XNAS,2023-03-21T00:00:00+0000
155.07,157.81,154.15,157.4,73641415.0,157.82,154.15,157.4,155.07,73641415.0,1.0,0.0,AAPL,XNAS,2023-03-20T00:00:00+0000
156.08,156.74,154.28,155.0,98862500.0,156.74,154.28,155.0,156.08,98944633.0,1.0,0.0,AAPL,XNAS,2023-03-17T00:00:00+0000
152.16,156.42,151.64,155.85,76254419.0,156.46,151.64,155.85,152.16,76254419.0,1.0,0.0,AAPL,XNAS,2023-03-16T00:00:00+0000
151.19,153.245,149.92,152.99,77167866.0,153.245,149.92,152.99,151.19,77167866.0,1.0,0.0,AAPL,XNAS,2023-03-15T00:00:00+0000
151.28,153.4,150.1,152.59,73628400.0,153.4,150.1,152.59,151.28,73695893.0,1.0,0.0,AAPL,XNAS,2023-03-14T00:00:00+0000
147.805,153.14,147.7,150.47,84457122.0,153.14,147.7,150.47,147.805,84457122.0,1.0,0.0,AAPL,XNAS,2023-03-13T00:00:00+0000
150.21,150.94,147.61,148.5,68524400.0,150.94,147.6096,148.5,150.21,68572400.0,1.0,0.0,AAPL,XNAS,2023-03-10T00:00:00+0000
153.559,154.5312,150.225,150.59,53833582.0,154.535,150.225,150.59,153.559,53833582.0,1.0,0.0,AAPL,XNAS,2023-03-09T00:00:00+0000
152.81,153.47,151.83,152.87,47129000.0,153.47,151.83,152.87,152.81,47204791.0,1.0,0.0,AAPL,XNAS,2023-03-08T00:00:00+0000
153.7,154.0299,151.13,151.6,56097579.0,154.0299,151.13,151.6,153.7,56182028.0,1.0,0.0,AAPL,XNAS,2023-03-07T00:00:00+0000
153.785,156.295,153.46,153.83,85084876.0,156.3,153.46,153.83,153.785,87558028.0,1.0,0.0,AAPL,XNAS,2023-03-06T00:00:00+0000
148.04,151.11,147.33,151.03,70668500.0,151.11,147.33,151.03,148.045,70732297.0,1.0,0.0,AAPL,XNAS,2023-03-03T00:00:00+0000
144.38,146.71,143.9,145.91,52279761.0,146.71,143.9,145.91,144.38,52279761.0,1.0,0.0,AAPL,XNAS,2023-03-02T00:00:00+0000
146.83,147.2285,145.01,145.31,55478991.0,147.2285,145.01,145.31,146.83,55478991.0,1.0,0.0,AAPL,XNAS,2023-03-01T00:00:00+0000
147.05,149.075,146.87,147.41,50145937.0,149.08,146.83,147.41,147.05,50546998.0,1.0,0.0,AAPL,XNAS,2023-02-28T00:00:00+0000
147.71,149.17,147.45,147.92,44950000.0,149.17,147.45,147.92,147.71,44998470.0,1.0,0.0,AAPL,XNAS,2023-02-27T00:00:00+0000
147.11,147.19,145.72,146.71,55418200.0,147.19,145.7202,146.71,147.11,55469606.0,1.0,0.0,AAPL,XNAS,2023-02-24T00:00:00+0000
150.09,150.34,147.24,149.4,48349600.0,150.34,147.24,149.4,150.09,48394249.0,1.0,0.0,AAPL,XNAS,2023-02-23T00:00:00+0000
