open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
98.95,102.57,98.71,102.4,67925138.0,102.57,98.71,102.4,98.95,67925138.0,1.0,0.0,AMZN,XNAS,2023-04-13T00:00:00+0000
100.4,100.51,97.71,97.83,56639400.0,100.51,97.705,97.83,100.4,56735007.0,1.0,0.0,AMZN,XNAS,2023-04-12T00:00:00+0000
100.8,101.0,99.01,99.92,60349000.0,101.0,99.01,99.92,100.8,60417847.0,1.0,0.0,AMZN,XNAS,2023-04-11T00:00:00+0000
100.96,102.2,99.57,102.17,37221500.0,102.2,99.57,102.17,100.96,37261185.0,1.0,0.0,AMZN,XNAS,2023-04-10T00:00:00+0000
100.75,102.3817,99.8008,102.06,43808020.0,102.3817,99.8008,102.06,100.75,43808020.0,1.0,0.0,AMZN,XNAS,2023-04-06T00:00:00+0000
103.91,103.91,100.75,101.1,45103000.0,103.91,100.7506,101.1,103.91,45175393.0,1.0,0.0,AMZN,XNAS,2023-04-05T00:00:00+0000
102.75,104.2,102.11,103.95,48662496.0,104.2,102.11,103.95,102.75,48662496.0,1.0,0.0,AMZN,XNAS,2023-04-04T00:00:00+0000
102.3,103.29,101.43,102.41,41093100.0,103.29,101.43,102.41,102.3,41135733.0,1.0,0.0,AMZN,XNAS,2023-04-03T00:00:00+0000
102.16,103.49,101.95,103.29,56704300.0,103.49,101.95,103.29,102.16,56750317.0,1.0,0.0,AMZN,XNAS,2023-03-31T00:00:00+0000
101.55,103.04,101.01,102.0,53578800.0,103.04,101.01,102.0,101.55,53633398.0,1.0,0.0,AMZN,XNAS,2023-03-30T00:00:00+0000
98.69,100.42,98.56,100.25,49708500.0,100.4218,98.56,100.25,98.69,49783279.0,1.0,0.0,AMZN,XNAS,2023-03-29T00:00:00+0000
98.11,98.44,96.29,97.24,38669200.0,98.44,96.29,97.24,98.11,38720050.0,1.0,0.0,AMZN,XNAS,2023-03-28T00:00:00+0000
99.07,99.34,97.08,98.04,46674700.0,99.34,97.08,98.04,99.07,46721296.0,1.0,0.0,AMZN,XNAS,2023-03-27T00:00:00+0000
98.07,98.3,96.4,98.13,56095400.0,98.3,96.4,98.13,98.065,56144801.0,1.0,0.0,AMZN,XNAS,2023-03-24T00:00:00+0000
100.43,101.06,97.62,98.71,57491000.0,101.06,97.62,98.71,100.43,57559310.0,1.0,0.0,AMZN,XNAS,2023-03-23T00:00:00+0000
100.45,102.1,98.61,98.7,57093500.0,102.1,98.61,98.7,100.45,57475365.0,1.0,0.0,AMZN,XNAS,2023-03-22T00:00:00+0000
98.14,100.85,98.0,100.61,58508700.0,100.845,98.0,100.61,98.14,58597275.0,1.0,0.0,AMZN,XNAS,2023-03-21T00:00:00+0000
98.41,98.48,95.7,97.71,62305400.0,98.48,95.7,97.71,98.41,62388911.0,1.0,0.0,AMZN,XNAS,2023-03-20T00:00:00+0000
99.79,100.66,97.46,98.95,87173200.0,100.66,97.455,98.95,99.79,87300242.0,1.0,0.0,AMZN,XNAS,2023-03-17T00:00:00+0000
95.75,100.99,95.61,100.04,84381871.0,100.99,95.61,100.04,95.75,84558934.0,1.0,0.0,AMZN,XNAS,2023-03-16T00:00:00+0000
93.22,96.67,93.0704,96.2,70731792.0,96.67,93.07,96.2,93.22,70731792.0,1.0,0.0,AMZN,XNAS,2023-03-15T00:00:00+0000
93.83,95.07,92.71,94.88,60849900.0,95.07,92.71,94.88,93.83,60912674.0,1.0,0.0,AMZN,XNAS,2023-03-14T00:00:00+0000
89.97,94.02,88.12,92.43,69562471.0,94.02,88.12,92.43,89.97,72397053.0,1.0,0.0,AMZN,XNAS,2023-03-13T00:00:00+0000
92.67,93.57,90.25,90.73,69747500.0,93.57,90.245,90.73,92.67,69827490.0,1.0,0.0,AMZN,XNAS,2023-03-10T00:00:00+0000
93.68,96.21,92.18,92.25,56136400.0,96.21,92.18,92.25,93.68,56218705.0,1.0,0.0,AMZN,XNAS,2023-03-09T00:00:00+0000
93.6,94.17,92.18,93.92,44823700.0,94.165,92.18,93.92,93.6,44899128.0,1.0,0.0,AMZN,XNAS,2023-03-08T00:00:00+0000
94.06,95.09,92.78,93.55,49100668.0,95.09,92.78,93.55,94.06,49100668.0,1.0,0.0,AMZN,XNAS,2023-03-07T00:00:00+0000
95.19,96.55,93.74,93.75,52008400.0,96.545,93.74,93.75,95.19,52112355.0,1.0,0.0,AMZN,XNAS,2023-03-06T00:00:00+0000
92.74,94.94,92.66,94.9,55695300.0,94.94,92.66,94.9,92.74,55759609.0,1.0,0.0,AMZN,XNAS,2023-03-03T00:00:00+0000
91.41,92.23,90.39,92.13,55509400.0,92.23,90.39,92.13,91.41,55574820.0,1.0,0.0,AMZN,XNAS,2023-03-02T00:00:00+0000
93.87,94.68,91.59,92.17,52145000.0,94.68,91.59,92.17,93.87,52299524.0,1.0,0.0,AMZN,XNAS,2023-03-01T00:00:00+0000
93.14,94.69,92.92,94.23,43901300.0,94.69,92.92,94.23,93.14,43959290.0,1.0,0.0,AMZN,XNAS,2023-02-28T00:00:00+0000
94.28,94.78,93.14,93.76,47425600.0,94.78,93.14,93.76,94.28,47470321.0,1.0,0.0,AMZN,XNAS,2023-02-27T00:00:00+0000
93.53,94.14,92.32,93.5,57010100.0,94.14,92.3186,93.5,93.53,57053812.0,1.0,0.0,AMZN,XNAS,2023-02-24T00:00:00+0000
96.12,96.43,93.67,95.82,48402600.0,96.43,93.67,95.82,96.12,48466994.0,1.0,0.0,AMZN,XNAS,2023-02-23T00:00:00+0000
95.1,97.01,94.8,95.79,57638900.0,97.01,94.8,95.79,95.1,59534094.0,1.0,0.0,AMZN,XNAS,2023-02-22T00:00:00+0000
95.34,95.61,94.27,94.58,56515600.0,95.605,94.27,94.58,95.335,56580360.0,1.0,0.0,AMZN,XNAS,2023-02-21T00:00:00+0000
97.8,97.94,95.65,97.2,60029405.0,97.94,95.65,97.2,97.8,60029405.0,1.0,0.0,AMZN,XNAS,2023-02-17T00:00:00+0000
99.21,100.63,98.1,98.15,56204700.0,100.63,98.1,98.15,99.21,56339173.0,1.0,0.0,AMZN,XNAS,2023-02-16T00:00:00+0000
99.09,101.17,98.45,101.16,47957600.0,101.17,98.45,101.16,99.09,48053879.0,1.0,0.0,AMZN,XNAS,2023-02-15T00:00:00+0000
98.41,100.92,97.5231,99.7,56202898.0,100.9207,97.52,99.7,98.41,56202898.0,1.0,0.0,AMZN,XNAS,2023-02-14T00:00:00+0000
97.85,99.68,96.91,99.54,52786700.0,99.68,96.91,99.54,97.85,52841464.0,1.0,0.0,AMZN,XNAS,2023-02-13T00:00:00+0000
97.56,98.82,96.23,97.61,52698600.0,98.8163,96.23,97.61,97.56,52740133.0,1.0,0.0,AMZN,XNAS,2023-02-10T00:00:00+0000
101.32,101.78,97.57,98.24,64622488.0,101.78,97.57,98.24,101.32,64622489.0,1.0,0.0,AMZN,XNAS,2023-02-09T00:00:00+0000
102.04,102.6699,98.775,100.05,75878305.0,102.6699,98.775,100.05,102.04,75878304.0,1.0,0.0,AMZN,XNAS,2023-02-08T00:00:00+0000
101.17,102.41,98.08,102.11,119501297.0,102.41,98.08,102.11,101.17,119501301.0,1.0,0.0,AMZN,XNAS,2023-02-07T00:00:00+0000
