open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
128.46,129.04,126.83,128.99,12450242.0,129.04,126.83,128.99,128.46,12450242.0,1.0,0.0,JPM,XNYS,2023-04-13T00:00:00+0000
129.18,130.43,128.0603,128.5,11586455.0,130.43,128.0603,128.5,129.18,11820995.0,1.0,0.0,JPM,XNYS,2023-04-12T00:00:00+0000
128.3,128.94,127.54,128.52,10510700.0,128.94,127.54,128.52,128.3,10516267.0,1.0,0.0,JPM,XNYS,2023-04-11T00:00:00+0000
126.54,128.23,126.22,127.89,9465000.0,128.23,126.22,127.89,126.54,9477292.0,1.0,0.0,JPM,XNYS,2023-04-10T00:00:00+0000
127.0,128.08,126.8553,127.47,8760220.0,128.08,126.8553,127.47,127.0,8760220.0,1.0,0.0,JPM,XNYS,2023-04-06T00:00:00+0000
126.8,128.15,126.46,127.61,9614692.0,128.15,126.46,127.61,126.8,9614692.0,1.0,1.0,JPM,XNYS,2023-04-05T00:00:00+0000
130.5,130.59,127.41,128.42,11380336.0,130.59,127.41,128.42,130.5,11579916.0,1.0,0.0,JPM,XNYS,2023-04-04T00:00:00+0000
129.91,131.44,129.41,130.16,11772500.0,131.44,129.41,130.16,129.91,11775388.0,1.0,0.0,JPM,XNYS,2023-04-03T00:00:00+0000
129.66,130.34,128.85,130.31,13101300.0,130.34,128.8514,130.31,129.66,13105215.0,1.0,0.0,JPM,XNYS,2023-03-31T00:00:00+0000
129.95,130.12,127.65,128.75,12126700.0,130.12,127.65,128.75,129.95,12134675.0,1.0,0.0,JPM,XNYS,2023-03-30T00:00:00+0000
130.1,130.22,127.77,129.14,14585300.0,130.22,127.77,129.14,130.1,14595260.0,1.0,0.0,JPM,XNYS,2023-03-29T00:00:00+0000
128.71,129.34,127.74,128.88,10817200.0,129.3417,127.744,128.88,128.71,10820466.0,1.0,0.0,JPM,XNYS,2023-03-28T00:00:00+0000
126.79,129.38,126.29,128.49,18841200.0,129.38,126.29,128.49,126.79,18853935.0,1.0,0.0,JPM,XNYS,2023-03-27T00:00:00+0000
125.63,125.68,123.11,124.91,22311100.0,125.68,123.11,124.91,125.63,22326916.0,1.0,0.0,JPM,XNYS,2023-03-24T00:00:00+0000
127.9,129.53,126.02,126.84,16668200.0,129.53,126.02,126.84,127.9,16677640.0,1.0,0.0,JPM,XNYS,2023-03-23T00:00:00+0000
130.56,130.66,127.08,127.18,17235500.0,130.655,127.08,127.18,130.56,17250168.0,1.0,0.0,JPM,XNYS,2023-03-22T00:00:00+0000
130.59,131.73,130.19,130.55,17807808.0,131.73,130.19,130.55,130.59,17807808.0,1.0,0.0,JPM,XNYS,2023-03-21T00:00:00+0000
