open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
283.59,289.9,283.17,289.84,24205200.0,289.9,283.17,289.84,283.59,24222678.0,1.0,0.0,MSFT,XNAS,2023-04-13T00:00:00+0000
284.79,287.01,281.96,283.49,27373400.0,287.01,281.96,283.49,284.79,27403432.0,1.0,0.0,MSFT,XNAS,2023-04-12T00:00:00+0000
285.75,285.98,281.64,282.83,27254900.0,285.98,281.64,282.83,285.75,27276589.0,1.0,0.0,MSFT,XNAS,2023-04-11T00:00:00+0000
289.21,289.6,284.71,289.39,23079400.0,289.6,284.71,289.39,289.208,23102994.0,1.0,0.0,MSFT,XNAS,2023-04-10T00:00:00+0000
283.21,292.08,282.03,291.6,29770334.0,292.08,282.03,291.6,283.21,29770334.0,1.0,0.0,MSFT,XNAS,2023-04-06T00:00:00+0000
285.85,287.15,282.92,284.34,22028700.0,287.15,282.92,284.34,285.85,22064770.0,1.0,0.0,MSFT,XNAS,2023-04-05T00:00:00+0000
287.23,290.4499,285.67,287.18,24682420.0,290.4499,285.67,287.18,287.23,25824299.0,1.0,0.0,MSFT,XNAS,2023-04-04T00:00:00+0000
286.52,288.27,283.95,287.23,24868400.0,288.27,283.95,287.23,286.52,24883342.0,1.0,0.0,MSFT,XNAS,2023-04-03T00:00:00+0000
283.73,289.27,283.0,288.3,32740300.0,289.27,283.0,288.3,283.73,32765976.0,1.0,0.0,MSFT,XNAS,2023-03-31T00:00:00+0000
284.23,284.46,281.48,284.05,25023700.0,284.46,281.48,284.05,284.23,25053410.0,1.0,0.0,MSFT,XNAS,2023-03-30T00:00:00+0000
278.96,281.14,278.41,280.51,25054100.0,281.1398,278.41,280.51,278.96,25087032.0,1.0,0.0,MSFT,XNAS,2023-03-29T00:00:00+0000
275.79,276.14,272.05,275.23,21856400.0,276.14,272.0451,275.23,275.79,21878647.0,1.0,0.0,MSFT,XNAS,2023-03-28T00:00:00+0000
280.5,281.46,275.52,276.38,26808900.0,281.4589,275.52,276.38,280.5,26840212.0,1.0,0.0,MSFT,XNAS,2023-03-27T00:00:00+0000
277.24,280.63,275.28,280.57,28172000.0,280.63,275.28,280.57,277.24,28199962.0,1.0,0.0,MSFT,XNAS,2023-03-24T00:00:00+0000
277.94,281.06,275.2,277.66,36590300.0,281.06,275.2,277.66,277.94,36610879.0,1.0,0.0,MSFT,XNAS,2023-03-23T00:00:00+0000
273.4,281.04,272.18,272.29,34731100.0,281.04,272.18,272.29,273.4,34873330.0,1.0,0.0,MSFT,XNAS,2023-03-22T00:00:00+0000
