open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
267.34,268.87,263.29,264.63,35297200.0,268.869,263.29,264.63,267.34,35361528.0,1.0,0.0,NVDA,XNAS,2023-04-13T00:00:00+0000
273.7,274.68,264.48,264.95,44529900.0,274.6799,264.475,264.95,273.7,44625895.0,1.0,0.0,NVDA,XNAS,2023-04-12T00:00:00+0000
277.24,277.9,271.26,271.69,31383600.0,277.9,271.26,271.69,277.235,31437817.0,1.0,0.0,NVDA,XNAS,2023-04-11T00:00:00+0000
268.23,276.21,266.69,275.79,39438000.0,276.2099,266.69,275.79,268.23,39527855.0,1.0,0.0,NVDA,XNAS,2023-04-10T00:00:00+0000
265.84,270.8,264.27,270.37,39765434.0,270.8,264.27,270.37,265.84,39765434.0,1.0,0.0,NVDA,XNAS,2023-04-06T00:00:00+0000
268.29,269.98,263.95,268.81,51403400.0,269.98,263.95,268.81,268.29,51501474.0,1.0,0.0,NVDA,XNAS,2023-04-05T00:00:00+0000
279.66,280.0,273.08,274.53,36859153.0,280.0,273.07,274.53,279.66,36859153.0,1.0,0.0,NVDA,XNAS,2023-04-04T00:00:00+0000
275.09,280.0,273.36,279.65,39807200.0,280.0,273.36,279.65,275.09,39871560.0,1.0,0.0,NVDA,XNAS,2023-04-03T00:00:00+0000
271.4,278.34,271.05,277.77,43324300.0,278.3431,271.05,277.77,271.4,43393277.0,1.0,0.0,NVDA,XNAS,2023-03-31T00:00:00+0000
272.29,274.99,271.02,273.83,36381900.0,274.99,271.02,273.83,272.29,36451574.0,1.0,0.0,NVDA,XNAS,2023-03-30T00:00:00+0000
268.25,270.78,265.97,269.84,39266900.0,270.78,265.97,269.84,268.25,39369387.0,1.0,0.0,NVDA,XNAS,2023-03-29T00:00:00+0000
264.47,265.13,258.5,264.1,35547400.0,265.13,258.5,264.1,264.47,35610378.0,1.0,0.0,NVDA,XNAS,2023-03-28T00:00:00+0000
268.37,270.0,263.65,265.31,36049500.0,270.0,263.65,265.31,268.37,36102574.0,1.0,0.0,NVDA,XNAS,2023-03-27T00:00:00+0000
270.31,271.67,263.55,267.79,45492000.0,271.67,263.55,267.79,270.31,45541407.0,1.0,0.0,NVDA,XNAS,2023-03-24T00:00:00+0000
271.15,274.99,266.9,271.91,56377300.0,274.99,266.9,271.91,271.155,56488876.0,1.0,0.0,NVDA,XNAS,2023-03-23T00:00:00+0000
264.25,275.89,262.37,264.68,79263700.0,275.89,262.37,264.68,264.25,79729511.0,1.0,0.0,NVDA,XNAS,2023-03-22T00:00:00+0000
261.8,263.92,253.81,261.99,54631100.0,263.92,253.81,261.99,261.8,54740776.0,1.0,0.0,NVDA,XNAS,2023-03-21T00:00:00+0000
256.15,260.24,251.3,259.0,43198400.0,260.24,251.2983,259.0,256.15,43274719.0,1.0,0.0,NVDA,XNAS,2023-03-20T00:00:00+0000
259.82,263.99,256.68,257.25,84694400.0,263.99,256.68,257.25,259.82,84854656.0,1.0,0.0,NVDA,XNAS,2023-03-17T00:00:00+0000
240.27,255.88,238.94,255.41,58494626.0,255.88,238.94,255.41,240.27,58494626.0,1.0,0.0,NVDA,XNAS,2023-03-16T00:00:00+0000
237.61,242.86,233.6001,242.28,52448574.0,242.86,233.6,242.28,237.61,52448574.0,1.0,0.0,NVDA,XNAS,2023-03-15T00:00:00+0000
234.96,242.19,234.6,240.63,47431000.0,242.19,234.6,240.63,234.96,47491013.0,1.0,0.0,NVDA,XNAS,2023-03-14T00:00:00+0000
227.52,232.9624,222.97,229.66,42189032.0,232.98,222.97,229.66,227.52,42189032.0,1.0,0.0,NVDA,XNAS,2023-03-13T00:00:00+0000
234.09,236.27,227.26,229.65,47453200.0,236.27,227.26,229.65,234.09,47486565.0,1.0,0.0,NVDA,XNAS,2023-03-10T00:00:00+0000
241.75,244.5389,233.8284,234.36,49451769.0,244.54,233.8284,234.36,241.75,50125699.0,1.0,0.0,NVDA,XNAS,2023-03-09T00:00:00+0000
234.87,242.0,234.235,241.81,51357339.0,242.0,234.235,241.81,234.87,51357339.0,1.0,0.0,NVDA,XNAS,2023-03-08T00:00:00+0000
236.0,241.25,232.41,232.88,51515388.0,241.25,232.41,232.88,236.0,51515388.0,1.0,0.04,NVDA,XNAS,2023-03-07T00:00:00+0000
238.91,242.48,234.87,235.54,43695300.0,242.48,234.87,235.54,238.91,43742923.0,1.0,0.0,NVDA,XNAS,2023-03-06T00:00:00+0000
233.2,239.0,231.3,238.9,41168400.0,239.0,231.3,238.9,233.2,41239330.0,1.0,0.0,NVDA,XNAS,2023-03-03T00:00:00+0000
224.88,233.8,224.32,233.14,38941500.0,233.804,224.32,233.14,224.88,39007465.0,1.0,0.0,NVDA,XNAS,2023-03-02T00:00:00+0000
231.92,232.56,225.08,226.98,45911000.0,232.5557,225.08,226.98,231.92,46002562.0,1.0,0.0,NVDA,XNAS,2023-03-01T00:00:00+0000
233.72,238.25,232.06,232.16,45377500.0,238.25,232.06,232.16,233.72,45596280.0,1.0,0.0,NVDA,XNAS,2023-02-28T00:00:00+0000
236.7,238.8,234.54,235.01,45253300.0,238.7994,234.54,235.01,236.7,45299367.0,1.0,0.0,NVDA,XNAS,2023-02-27T00:00:00+0000
232.25,234.74,229.47,232.86,58918100.0,234.74,229.47,232.86,232.25,58971591.0,1.0,0.0,NVDA,XNAS,2023-02-24T00:00:00+0000
234.4,238.88,230.25,236.64,111672600.0,238.88,230.25,236.64,234.4,111799541.0,1.0,0.0,NVDA,XNAS,2023-02-23T00:00:00+0000
207.07,211.04,204.21,207.54,50394800.0,211.04,204.21,207.54,207.07,51318432.0,1.0,0.0,NVDA,XNAS,2023-02-22T00:00:00+0000
210.0,214.94,206.18,206.55,40905300.0,214.938,206.18,206.55,210.0,41001455.0,1.0,0.0,NVDA,XNAS,2023-02-21T00:00:00+0000
216.31,217.4,209.75,213.88,46588764.0,217.4,209.75,213.88,216.31,46588764.0,1.0,0.0,NVDA,XNAS,2023-02-17T00:00:00+0000
221.33,225.5,219.27,220.02,41070600.0,225.5,219.268,220.02,221.33,41202628.0,1.0,0.0,NVDA,XNAS,2023-02-16T00:00:00+0000
225.49,228.55,221.06,227.64,42057500.0,228.55,221.06,227.64,225.49,42118826.0,1.0,0.0,NVDA,XNAS,2023-02-15T00:00:00+0000
215.78,230.488,213.66,229.71,67547350.0,230.488,213.66,229.71,215.78,67547350.0,1.0,0.0,NVDA,XNAS,2023-02-14T00:00:00+0000
215.38,220.48,209.62,217.88,47415900.0,220.48,209.62,217.88,215.38,47491862.0,1.0,0.0,NVDA,XNAS,2023-02-13T00:00:00+0000
216.9,220.78,208.11,212.65,55031100.0,220.7764,208.11,212.65,216.9,55073675.0,1.0,0.0,NVDA,XNAS,2023-02-10T00:00:00+0000
226.06,230.2,221.2,223.37,52287400.0,230.2,221.2,223.37,226.06,52387578.0,1.0,0.0,NVDA,XNAS,2023-02-09T00:00:00+0000
223.87,228.78,220.08,222.05,55895500.0,228.78,220.0801,222.05,223.87,55965122.0,1.0,0.0,NVDA,XNAS,2023-02-08T00:00:00+0000
213.82,222.59,211.5,221.73,66265900.0,222.59,211.5,221.73,213.82,66414961.0,1.0,0.0,NVDA,XNAS,2023-02-07T00:00:00+0000
208.06,215.7,207.86,210.89,45162000.0,215.7,207.86,210.89,208.06,45219709.0,1.0,0.0,NVDA,XNAS,2023-02-06T00:00:00+0000
210.0,217.45,207.89,211.0,42892500.0,217.4499,207.89,211.0,210.0,42936595.0,1.0,0.0,NVDA,XNAS,2023-02-03T00:00:00+0000
210.0,219.49,207.0,217.09,56427580.0,219.49,207.0,217.09,210.0,56427580.0,1.0,0.0,NVDA,XNAS,2023-02-02T00:00:00+0000
196.91,211.92,196.11,209.43,65875700.0,211.92,196.11,209.43,196.91,66047704.0,1.0,0.0,NVDA,XNAS,2023-02-01T00:00:00+0000
191.695,196.87,189.5,195.37,49801658.0,196.87,189.5,195.37,191.695,49801658.0,1.0,0.0,NVDA,XNAS,2023-01-31T00:00:00+0000
199.5,201.4,191.5,191.62,48793400.0,201.4,191.5,191.62,199.5,48861115.0,1.0,0.0,NVDA,XNAS,2023-01-30T00:00:00+0000
194.62,206.28,194.05,203.65,54163300.0,206.28,194.05,203.65,194.62,54214198.0,1.0,0.0,NVDA,XNAS,2023-01-27T00:00:00+0000
197.01,201.66,192.78,198.02,48861100.0,201.66,192.78,198.02,197.01,48953542.0,1.0,0.0,NVDA,XNAS,2023-01-26T00:00:00+0000
189.13,193.7,185.8,193.23,44830900.0,193.7,185.8,193.23,189.125,44953711.0,1.0,0.0,NVDA,XNAS,2023-01-25T00:00:00+0000
188.27,194.95,188.2,192.65,49620410.0,194.95,188.2,192.65,188.27,49620410.0,1.0,0.0,NVDA,XNAS,2023-01-24T00:00:00+0000
180.64,192.45,178.18,191.93,65436600.0,192.45,178.175,191.93,180.64,65516259.0,1.0,0.0,NVDA,XNAS,2023-01-23T00:00:00+0000
170.11,178.56,168.25,178.39,56401600.0,178.56,168.25,178.39,170.11,56496712.0,1.0,0.0,NVDA,XNAS,2023-01-20T00:00:00+0000
170.36,171.97,167.31,167.65,45250100.0,171.97,167.31,167.65,170.36,45293160.0,1.0,0.0,NVDA,XNAS,2023-01-19T00:00:00+0000
176.67,178.73,172.82,173.77,43962355.0,178.73,172.82,173.77,176.67,43962355.0,1.0,0.0,NVDA,XNAS,2023-01-18T00:00:00+0000
168.99,177.28,168.99,177.02,51019900.0,177.28,168.99,177.02,168.99,51110216.0,1.0,0.0,NVDA,XNAS,2023-01-17T00:00:00+0000
162.78,169.22,161.65,168.99,44728706.0,169.22,161.65,168.99,162.78,44728706.0,1.0,0.0,NVDA,XNAS,2023-01-13T00:00:00+0000
161.0,166.36,154.92,165.11,55009010.0,166.37,154.92,165.11,161.0,55140906.0,1.0,0.0,NVDA,XNAS,2023-01-12T00:00:00+0000
158.395,160.18,155.64,160.01,35266432.0,160.28,155.63,160.01,158.3951,35328493.0,1.0,0.0,NVDA,XNAS,2023-01-11T00:00:00+0000
155.07,159.62,154.72,159.09,38352000.0,159.6199,154.72,159.09,155.07,38410126.0,1.0,0.0,NVDA,XNAS,2023-01-10T00:00:00+0000
152.84,160.56,151.41,156.28,50385300.0,160.56,151.41,156.28,152.84,50423056.0,1.0,0.0,NVDA,XNAS,2023-01-09T00:00:00+0000
144.74,150.1,140.34,148.59,40482300.0,150.1,140.34,148.59,144.74,40504362.0,1.0,0.0,NVDA,XNAS,2023-01-06T00:00:00+0000
144.91,145.64,141.4795,142.65,38659659.0,145.64,141.4795,142.65,144.91,38916811.0,1.0,0.0,NVDA,XNAS,2023-01-05T00:00:00+0000
145.67,148.53,142.41,147.49,43132360.0,148.53,142.41,147.49,145.67,43132360.0,1.0,0.0,NVDA,XNAS,2023-01-04T00:00:00+0000
148.51,149.96,140.96,143.15,39587941.0,149.96,140.96,143.15,148.51,40127658.0,1.0,0.0,NVDA,XNAS,2023-01-03T00:00:00+0000
143.34,146.2899,142.33,146.14,31048983.0,146.2899,142.33,146.14,143.34,31048983.0,1.0,0.0,NVDA,XNAS,2022-12-30T00:00:00+0000
144.02,146.83,142.27,146.03,35428909.0,146.83,142.27,146.03,144.02,35492324.0,1.0,0.0,NVDA,XNAS,2022-12-29T00:00:00+0000
139.27,142.61,138.84,140.36,35106645.0,142.62,138.84,140.36,139.27,35106645.0,1.0,0.0,NVDA,XNAS,2022-12-28T00:00:00+0000
150.74,151.0,140.5606,141.21,46490226.0,151.0,140.56,141.21,150.74,46490226.0,1.0,0.0,NVDA,XNAS,2022-12-27T00:00:00+0000
151.96,153.39,148.83,152.06,34932563.0,153.39,148.83,152.06,151.96,34932563.0,1.0,0.0,NVDA,XNAS,2022-12-23T00:00:00+0000
160.935,161.0,148.83,153.39,56504527.0,161.38,148.82,153.39,160.935,56504527.0,1.0,0.0,NVDA,XNAS,2022-12-22T00:00:00+0000
161.14,166.27,161.02,165.01,32502538.0,166.27,161.02,165.01,161.14,32502538.0,1.0,0.0,NVDA,XNAS,2022-12-21T00:00:00+0000
160.64,163.1,158.52,160.85,40217401.0,163.1,158.52,160.85,160.64,40325979.0,1.0,0.0,NVDA,XNAS,2022-12-20T00:00:00+0000
165.72,166.09,161.45,162.54,35370700.0,166.09,161.45,162.54,165.72,35403877.0,1.0,0.0,NVDA,XNAS,2022-12-19T00:00:00+0000
168.64,170.41,164.1,165.71,47791400.0,170.41,164.1,165.71,168.642,47823193.0,1.0,0.0,NVDA,XNAS,2022-12-16T00:00:00+0000
171.46,173.2,167.0,169.52,47854210.0,173.2,167.0,169.52,171.46,47854210.0,1.0,0.0,NVDA,XNAS,2022-12-15T00:00:00+0000
179.87,182.52,174.2132,176.74,49688810.0,182.52,174.2,176.74,179.87,49688810.0,1.0,0.0,NVDA,XNAS,2022-12-14T00:00:00+0000
185.31,187.9,177.11,180.72,65658876.0,187.9,177.11,180.72,185.31,65658876.0,1.0,0.0,NVDA,XNAS,2022-12-13T00:00:00+0000
170.37,175.36,167.97,175.35,45732780.0,175.38,167.97,175.35,170.37,45732780.0,1.0,0.0,NVDA,XNAS,2022-12-12T00:00:00+0000
171.6,175.83,169.75,170.01,46509500.0,175.83,169.75,170.01,171.6,46533819.0,1.0,0.0,NVDA,XNAS,2022-12-09T00:00:00+0000
162.73,171.79,159.59,171.69,50344385.0,171.79,159.59,171.69,162.73,51545554.0,1.0,0.0,NVDA,XNAS,2022-12-08T00:00:00+0000
157.72,161.86,156.7,161.2,37238758.0,161.86,156.67,161.2,157.72,37238758.0,1.0,0.0,NVDA,XNAS,2022-12-07T00:00:00+0000
165.3,165.72,158.19,159.87,35269427.0,165.73,158.19,159.87,165.3,35269427.0,1.0,0.0,NVDA,XNAS,2022-12-06T00:00:00+0000
166.79,169.95,164.7201,166.1,34324177.0,169.95,164.7201,166.1,166.79,35225517.0,1.0,0.0,NVDA,XNAS,2022-12-05T00:00:00+0000
166.59,169.33,164.45,168.76,37119700.0,169.3257,164.45,168.76,166.59,37138858.0,1.0,0.0,NVDA,XNAS,2022-12-02T00:00:00+0000
169.99,172.65,166.35,171.35,47097657.0,172.65,166.35,171.35,169.99,47097657.0,1.0,0.0,NVDA,XNAS,2022-12-01T00:00:00+0000
156.97,169.3,155.97,169.23,56529820.0,169.3,155.97,169.23,156.97,56529822.0,1.0,0.04,NVDA,XNAS,2022-11-30T00:00:00+0000
158.27,159.32,155.2,156.39,29815300.0,159.32,155.2,156.39,158.27,29838449.0,1.0,0.0,NVDA,XNAS,2022-11-29T00:00:00+0000
160.26,163.57,157.25,158.27,30415201.0,163.57,157.25,158.27,160.26,30415201.0,1.0,0.0,NVDA,XNAS,2022-11-28T00:00:00+0000
163.18,164.87,161.72,162.7,16793400.0,164.87,161.72,162.7,163.18,16793430.0,1.0,0.0,NVDA,XNAS,2022-11-25T00:00:00+0000
160.98,165.27,160.48,165.19,42687500.0,165.27,160.4801,165.19,160.98,42724093.0,1.0,0.0,NVDA,XNAS,2022-11-23T00:00:00+0000
153.28,160.58,151.22,160.38,47202300.0,160.5757,151.216,160.38,153.28,47286607.0,1.0,0.0,NVDA,XNAS,2022-11-22T00:00:00+0000
151.47,154.77,150.8,153.17,40473931.0,154.77,150.8,153.17,151.47,40473931.0,1.0,0.0,NVDA,XNAS,2022-11-21T00:00:00+0000
159.66,160.02,151.2,154.09,49167700.0,160.02,151.2001,154.09,159.66,49207165.0,1.0,0.0,NVDA,XNAS,2022-11-18T00:00:00+0000
157.15,162.66,155.35,156.77,71089356.0,162.66,155.35,156.77,157.15,71089356.0,1.0,0.0,NVDA,XNAS,2022-11-17T00:00:00+0000
