open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
229.46,232.84,228.8,232.69,7610664.0,232.84,228.8,232.69,229.46,7615523.0,1.0,0.0,V,XNYS,2023-04-13T00:00:00+0000
229.93,231.59,227.33,227.81,4252063.0,231.59,227.33,227.81,229.93,4373002.0,1.0,0.0,V,XNYS,2023-04-12T00:00:00+0000
227.0,229.135,226.2,228.45,4512538.0,229.135,226.2,228.45,227.0,4513395.0,1.0,0.0,V,XNYS,2023-04-11T00:00:00+0000
225.56,226.47,224.33,226.43,4952351.0,226.48,224.32,226.43,225.56,4952351.0,1.0,0.0,V,XNYS,2023-04-10T00:00:00+0000
226.16,226.73,224.68,225.99,4285206.0,226.73,224.68,225.99,226.16,4285206.0,1.0,0.0,V,XNYS,2023-04-06T00:00:00+0000
226.78,228.47,226.55,228.17,4810696.0,228.47,226.55,228.17,226.78,4813750.0,1.0,0.0,V,XNYS,2023-04-05T00:00:00+0000
229.0,230.05,226.83,227.66,5252584.0,230.05,226.83,227.66,229.0,5254725.0,1.0,0.0,V,XNYS,2023-04-04T00:00:00+0000
225.23,229.16,224.12,229.0,6418607.0,229.16,224.12,229.0,225.23,6421512.0,1.0,0.0,V,XNYS,2023-04-03T00:00:00+0000
223.6,225.84,223.29,225.46,9507200.0,225.84,223.29,225.46,223.6,9508978.0,1.0,0.0,V,XNYS,2023-03-31T00:00:00+0000
223.92,224.235,221.21,222.36,5209929.0,224.235,221.21,222.36,223.92,5383945.0,1.0,0.0,V,XNYS,2023-03-30T00:00:00+0000
222.29,223.53,220.92,223.3,4482956.0,223.55,220.92,223.3,222.29,4482956.0,1.0,0.0,V,XNYS,2023-03-29T00:00:00+0000
222.82,223.33,218.65,220.33,6413966.0,223.33,218.65,220.33,222.82,6418581.0,1.0,0.0,V,XNYS,2023-03-28T00:00:00+0000
222.59,224.08,221.39,221.81,7206241.0,224.08,221.39,221.81,222.59,7211050.0,1.0,0.0,V,XNYS,2023-03-27T00:00:00+0000
220.67,221.33,218.25,221.04,4791500.0,221.33,218.25,221.04,220.67,4792394.0,1.0,0.0,V,XNYS,2023-03-24T00:00:00+0000
220.44,225.25,220.31,222.59,4214254.0,225.25,220.26,222.59,220.44,6427712.0,1.0,0.0,V,XNYS,2023-03-23T00:00:00+0000
222.5,224.9,219.92,220.04,6691916.0,224.9,219.92,220.04,222.5,6700556.0,1.0,0.0,V,XNYS,2023-03-22T00:00:00+0000
221.34,222.51,218.68,221.95,8971100.0,222.505,218.68,221.95,221.34,8971367.0,1.0,0.0,V,XNYS,2023-03-21T00:00:00+0000
