date,AAPL,AMZN,BTC,BA,GOOGL,JNJ,JPM,MSFT,NVDA,TSLA,V
2023-04-13 00:00:00+00:00,165.56,102.4,7178.68,213.59,107.43,166.11,128.99,289.84,264.63,185.9,232.69
2023-04-12 00:00:00+00:00,160.1,97.83,6950.56,212.34,104.64,163.92,128.5,283.49,264.95,180.54,227.81
2023-04-11 00:00:00+00:00,160.8,99.92,7338.91,212.32,105.35,164.27,128.52,282.83,271.69,186.79,228.45
2023-04-10 00:00:00+00:00,162.03,102.17,7344.48,210.78,106.44,164.32,127.89,289.39,275.79,184.51,226.43
2023-04-06 00:00:00+00:00,164.66,102.06,7356.7,211.37,108.42,165.15,127.47,291.6,270.37,185.06,225.99
2023-04-05 00:00:00+00:00,163.76,101.1,7762.74,210.0,104.47,165.61,127.61,284.34,268.81,185.52,228.17
2023-04-04 00:00:00+00:00,165.63,103.95,8159.01,213.9,104.72,158.49,128.42,287.18,274.53,192.58,227.66
2023-04-03 00:00:00+00:00,166.17,102.41,8044.44,215.39,104.36,156.85,130.16,287.23,279.65,194.77,229.0
2023-03-31 00:00:00+00:00,164.9,103.29,7806.78,212.43,103.73,155.0,130.31,288.3,277.77,207.46,225.46
2023-03-30 00:00:00+00:00,162.36,102.0,8200.0,211.04,100.89,153.43,128.75,284.05,273.83,195.28,222.36
2023-03-29 00:00:00+00:00,160.77,100.25,8016.22,207.97,101.39,153.31,129.14,280.51,269.84,193.88,223.3
2023-03-28 00:00:00+00:00,157.65,97.24,8180.76,204.96,101.03,151.82,128.88,275.23,264.1,189.19,220.33
2023-03-27 00:00:00+00:00,158.28,98.04,8105.01,200.57,102.46,153.3,128.49,276.38,265.31,191.81,221.81
2023-03-24 00:00:00+00:00,160.25,98.13,8813.04,197.53,105.44,152.65,124.91,280.57,267.79,190.41,221.04
2023-03-23 00:00:00+00:00,158.93,98.71,8809.17,197.9,105.6,151.13,126.84,277.66,271.91,192.22,222.59
2023-03-22 00:00:00+00:00,157.83,98.7,8710.15,196.16,103.37,151.05,127.18,272.29,264.68,191.15,220.04
2023-03-21 00:00:00+00:00,159.28,100.61,8892.63,204.7,104.92,153.89,130.55,273.78,261.99,197.58,221.95
2023-03-20 00:00:00+00:00,157.4,97.71,8908.53,204.77,101.22,153.89,127.14,272.23,259.0,183.25,218.15
2023-03-17 00:00:00+00:00,155.0,98.95,8696.6,201.05,101.62,152.38,125.81,279.43,257.25,180.13,217.39
2023-03-16 00:00:00+00:00,155.85,100.04,8625.17,203.19,100.32,154.03,130.75,276.2,255.41,184.13,217.45
2023-03-15 00:00:00+00:00,152.99,96.2,8717.89,198.21,96.11,154.35,128.26,265.44,242.28,180.45,216.37
2023-03-14 00:00:00+00:00,152.59,94.88,8655.93,207.28,93.97,153.92,134.62,260.79,240.63,183.26,218.66
2023-03-13 00:00:00+00:00,150.47,92.43,8378.44,203.37,91.11,153.06,131.25,253.92,229.66,174.48,214.47
2023-03-10 00:00:00+00:00,148.5,90.73,8422.13,203.07,90.63,151.61,133.65,248.59,229.65,173.44,216.14
2023-03-09 00:00:00+00:00,150.59,92.25,8329.5,201.24,92.32,151.24,130.34,252.32,234.36,172.92,220.01
2023-03-08 00:00:00+00:00,152.87,93.92,8590.48,207.2,94.25,152.96,137.8,253.7,241.81,182.0,222.19
2023-03-07 00:00:00+00:00,151.6,93.55,8894.54,207.92,93.86,154.09,138.62,254.15,232.88,187.71,223.17
2023-03-06 00:00:00+00:00,153.83,93.75,9400.0,211.92,95.13,155.56,142.82,256.87,235.54,193.81,226.75
2023-03-03 00:00:00+00:00,151.03,94.9,9289.18,215.11,93.65,154.02,143.66,255.29,238.9,197.79,223.77
2023-03-02 00:00:00+00:00,145.91,92.13,9500.0,210.06,92.0,152.45,141.07,251.11,233.14,190.9,219.06
2023-03-01 00:00:00+00:00,145.31,92.17,9327.85,204.55,90.36,152.57,142.55,246.27,226.98,202.77,218.36
